id,scientific_name,common_names,category
1_1,Tulipa,Tulip,1
1_2,Nelumbo,Lotus,1
1_3,Chrysanthemum,Chrysanthemum,1
1_4,Helianthus,Sunflower,1
1_5,Nymphaea,Water Lily,1
1_6,Cosmos,Cosmos,1
1_7,Coreopsis,Tickseed,1
1_8,Paeonia,Peony,1
1_9,Orychophragmus,Chinese Violet Cress,1
1_10,Aster,Aster,1
1_11,Papaver,Poppy,1
1_12,Phalaenopsis,Moth Orchid,1
1_13,Zinnia,Zinnia,1
1_14,Iris,Iris,1
1_15,Pericallis,Cineraria,1
1_16,Rudbeckia,Coneflower,1
1_17,Cleome,Spider Flower,1
1_18,Dahlia,Dahlia,1
1_19,Tagetes,Marigold,1
1_20,Verbena,Vervain,1
1_21,Lythrum,Loosestrife,1
1_22,Viola,Violet,1
1_23,Digitalis,Foxglove,1
1_24,Portulaca,Purslane,1
1_25,Cymbidium,Orchid,1
1_26,Hemerocallis,Daylily,1
1_27,Dianthus,Carnation,1
1_28,Lupinus,Lupine,1
1_29,Canna,Canna Lily,1
1_30,Taraxacum,Dandelion,1
2_1,Cerasus,Cherry,2
2_2,Rosa,Rose,2
2_3,Magnolia,Magnolia,2
2_4,Amygdalus,Almond,2
2_5,Prunus,Plum,2
2_6,Rhododendron,Rhododendron,2
2_7,Hydrangea,Hydrangea,2
2_8,Handroanthus,Trumpet trees,2
2_9,Malus,Apple,2
2_10,Lavandula,Lavender,2
2_11,Syringa,Lilac,2
2_12,Bougainvillea,Bougainvillea,2
2_13,Sophora,Pagoda Tree,2
2_14,Lagerstroemia,Crape myrtle,2
2_15,Bombax,Silk-cotton tree,2
2_16,Camellia,Camellia,2
2_17,Hibiscus,Hibiscus,2
2_18,Chimonanthus,Wintersweet,2
2_19,Pyrus,Pear,2
2_20,Cercis,Redbud,2
2_21,Bauhinia,Bauhinia,2
2_22,Delonix,Royal Poinciana,2
2_23,Jasminum,Jasmine,2
2_24,Punica,Pomegranate,2
2_25,Jacaranda,Jacaranda,2
2_26,Lantana,Lantana,2
2_27,Osmanthus,Osmanthus,2
2_28,Spiraea,Spiraea,2
2_29,Wisteria,Wisteria,2
2_30,Calliandra,Powderpuff,2
3_1,Tradescantia,Spiderwort,3
